38,63
44,15
67,40
66,28
93,24
23,32
45,45
81,6
95,33
84,69
11,9
78,76
37,89
17,39
63,54
8,83
14,18
80,42
50,56
15,19
27,16
20,49
9,82
56,77
84,76
67,89
97,85
41,23
39,87
11,87
18,13
80,52
94,2
23,98
28,37
29,97
17,32
34,24
91,55
26,60
29,38
26,80
16,34
37,88
11,77
10,70
22,5
55,27
73,42
14,39
46,63
46,41
82,42
28,45
93,89
32,33
59,43
20,26
82,58
31,14
34,69
32,68
50,58
89,97
30,81
53,93
77,13
19,16
18,85
27,31
29,19
90,3
89,82
41,89
58,90
49,79
10,61
82,31
72,78
46,26
89,75
75,72
47,22
61,44
23,50
82,80
63,16
90,7
43,60
86,96
84,28
27,48
67,88
97,26
64,15
13,21
65,82
64,77
77,51
99,98
90,61
34,19
2,6
42,82
43,85
35,6
50,80
89,2
61,31
81,36
88,58
46,93
97,66
53,42
40,25
20,85
3,77
3,42
2,52
15,5
16,64
26,18
28,92
86,89
31,41
4,81
13,78
34,18
95,67
13,51
72,15
74,57
32,34
61,41
25,10
40,53
50,64
5,4
80,12
72,38
2,8
33,55
15,14
95,18
37,27
67,19
52,28
3,72
80,72
11,50
86,15
86,25
8,86
57,66
41,14
63,35
59,5
19,1
72,89
72,78
48,22
5,70
39,30
34,20
7,86
56,19
65,93
7,61
8,93
27,39
92,93
30,84
11,51
47,25
98,33
86,35
29,30
31,99
85,94
97,17
37,54
38,57
6,30
12,78
90,20
44,65
2,50
26,81
24,20
76,73
33,83
99,29
16,32
6,30
59,55
18,81
15,1
77,73
34,55
42,76
73,18
70,63
13,36
85,67
24,57
90,49
87,65
84,98
84,7
27,52
91,54
83,46
19,75
84,37
5,26
73,19
76,36
21,28
72,33
10,43
4,4
38,35
38,89
58,57
92,44
20,45
37,23
34,62
91,6
66,43
69,73
62,27
34,89
23,53
37,68
54,42
32,90
62,12
95,52
53,98
67,67
39,63
66,59
80,83
93,21
68,63
63,29
75,86
63,81
64,67
87,7
64,7
21,39
48,92
1,53
10,46
48,86
99,10
26,63
13,94
22,61
68,87
54,32
48,39
40,21
41,18
24,34
82,50
65,73
10,15
77,10
79,56
44,20
93,17
49,8
24,35
21,71
31,75
61,26
63,66
50,28
41,13
58,89
83,57
33,27
75,83
75,25
21,7
31,57
55,47
77,66
40,71
32,94
57,51
16,76
99,33
93,74
9,49
29,31
36,2
24,95
79,23
8,1
47,88
40,25
10,45
68,46
95,18
36,34
95,65
60,66
47,81
77,99
50,36
77,99
3,45
36,40
49,20
95,38
32,34
80,74
78,86
9,42
55,27
10,99
51,45
9,77
35,48
13,67
15,4
92,78
87,23
41,79
45,44
46,5
36,55
28,75
65,86
8,60
25,47
46,56
30,9
9,7
68,34
75,96
29,82
4,83
28,47
54,24
93,30
8,30
98,51
11,9
29,90
71,34
87,50
91,94
33,8
96,46
92,40
17,24
82,66
78,75
84,75
10,34
24,46
92,34
80,24
63,27
79,90
54,80
83,10
25,87
89,14
42,66
95,43
23,30
31,75
35,39
24,47
9,49
78,9
90,78
24,51
51,62
31,48
86,10
17,9
26,99
78,15
43,98
56,69
27,15
22,54
76,58
96,4
15,40
47,62
89,33
9,35
99,55
15,42
93,28
62,44
15,19
83,69
80,8
91,15
62,55
52,33
68,59
4,56
22,44
14,37
59,90
46,92
98,58
65,17
64,45
63,33
63,97
27,77
37,62
61,6
42,6
54,76
64,45
65,57
46,84
22,14
82,83
6,6
64,45
94,2
79,50
82,3
19,66
97,94
5,37
28,85
61,78
99,89
17,49
50,90
43,95
61,49
31,63
98,22
49,42
99,46
84,78
17,41
67,44
27,14
18,67
90,36
33,55
5,10
47,58
52,53
5,78
54,28
24,25
37,98
9,23
76,54
24,63
34,50
65,60
99,52
52,33
4,11
94,42
50,88
19,76
79,99
44,33
88,91
62,68
38,69
60,40
91,98
98,17
71,40
19,32
50,44
95,91
33,37
89,70
42,69
37,94
7,77
60,54
33,52
57,54
23,29
33,66
6,49
74,44
30,77
67,45
57,3
39,13
11,79
43,19
78,99
14,93
13,58
75,46
57,11
92,27
58,51
47,64
94,21
27,13
4,44
56,71
66,71
95,78
97,21
68,85
61,94
82,5
21,88
53,92
83,43
87,89
36,91
8,29
28,58
84,95
35,65
56,9
41,82
35,26
22,37
68,14
19,31
96,8
3,98
27,26
66,6
88,30
27,79
61,27
86,91
50,85
36,39
49,94
96,80
17,20
47,88
70,25
83,3
1,50
66,17
13,3
6,40
39,76
96,30
22,55
12,88
98,16
41,32
16,81
32,90
3,39
74,26
23,56
42,10
5,29
73,41
23,21
59,60
29,58
50,65
52,13
67,28
41,93
71,96
65,82
84,85
85,69
86,10
32,14
73,21
58,58
